testID,lotNumber,printedExpiration,extendedExpiration
158003,167149 168184,2022-04-23,2023-02-23
158003,160870 167289 167745 168190 168247 168339 169067,2022-04-24,2023-02-24
158003,167278,2022-04-28,2023-02-28
158003,167286,2022-04-29,2023-02-28
158003,160973 161009 161236 161239 161332 162659 162815 167014 168197 168212 168251 168383 168484 168795 168796,2022-04-30,2023-02-28
158003,160836 165497 168349 168392 168619 168638 168654 168658 168717 168805 168820 168845 168943 169007 169069 169111 169113 169242 169419 169760,2022-05-01,2023-03-01
158003,167481 168119 168373 168743 168747 169094 169444 169482 169498 169797 170051 170428 170504 170765 171210 171313 171568 171574 171597 171625 172272 173238,2022-05-02,2023-03-02
158003,172441,2022-05-19,2023-04-19
158003,169072 169341 169410 169456 169501 170041 170055 170185 170304 170307 170375 170483 170845 170941 171138 171523 171572 171583 174013,2022-06-19,2023-04-19
158003,172741,2022-06-20,2023-08-12
158003,169206 169274 169812 169866 169889 169972 170832 170858 171257 171259 171295 171325 171360 171478 171507 171584 171627 171646 171698 172233 172339 172420 172516,2022-06-25,2023-04-25
158003,175553,2022-08-18,2023-08-08
158003,176643,2022-08-18,2023-08-14
158003,168088,2022-08-31,2023-06-30
158003,172637,2022-09-11,2023-07-11
158003,179175,2022-09-11,2023-09-22
158003,181922,2022-09-11,2023-10-11
158003,176820,2022-09-12,2023-08-16
158003,179194,2022-09-13,2023-08-08
158003,178291,2022-09-13,2023-09-22
158003,180391 181797,2022-09-13,2023-10-12
158003,178238,2022-09-14,2023-08-08
158003,180108 181497,2022-09-14,2023-10-13
158003,178957,2022-09-15,2023-09-21
158003,178260 178963,2022-09-15,2023-10-08
158003,180502 184800,2022-09-15,2023-10-14
158003,180363,2022-09-15,2023-10-15
158003,181721,2022-09-17,2023-10-17
158003,171771,2022-09-18,2023-07-18
158003,179130,2022-09-18,2023-10-16
158003,172247,2022-09-19,2023-07-19
158003,173413,2022-09-22,2023-07-22
158003,172985,2022-09-26,2023-07-26
158003,169446,2022-09-30,2023-07-30
158003,171555,2022-10-01,2023-08-01
158003,175249 177485,2022-10-03,2023-08-03
158003,180966,2022-10-05,2023-11-02
158003,171107 172140 172347 172378 172524 172688 172725 172986 173258 173264 173401 173501 173770 173784 174885 175071 175245 175458 175705 175852 175954 176170 177128,2022-10-08,2023-08-08
158003,172574 172611,2022-10-10,2023-08-10
158003,171705 171946 172128 172429 173318 173458 173463 173783 174268 174404,2022-10-12,2023-08-12
158003,171963 172373 172425 172450 172455 172699 172971 173231 173444 173451 173466 173977 174054 174074 174105 174282 175116 175380 175639,2022-10-13,2023-08-13
158003,173473 173828 174151 174276 174279 174281 174283 174566 174597 174605 174799 174815 174922 175000 175003 175033 175584 176097 176334 177741 178037 178296,2022-10-14,2023-08-14
158003,174101 174614 174903 175146 175212 175332 175407 175522 175523 175555 175659 175686 175756 175835 176126 176280 176644 176655 177517 177917,2022-10-16,2023-08-16
158003,173838,2022-11-01,2023-09-01
158003,173830 175905 175977 176132 176360B 176645 176666C 176982 177424 178298 178319 178739 179939 180659,2022-11-07,2023-09-07
158003,175767 175947 176078 176167 176349 176362 176770 176834 177109 177522 178358,2022-11-10,2023-09-10
158003,175223 177264 177525 178767 179114 179552,2022-11-21,2023-09-21
158003,176360 176666,2022-11-22,2023-09-07
158003,175860 175937 176134 177341 177486 177868 178253 178265 178574 178972 178973 179506 179938 182698 183689,2022-11-22,2023-09-22
158003,176569,2022-12-03,2023-10-03
158003,175866,2022-12-04,2023-10-04
158003,177448,2022-12-06,2023-10-06
158003,177493 177524 177745 178270 178300 178303 178625 178740 178791 178970 179108 179262 179297 179420 179505 179595 179603 180049,2022-12-08,2023-10-08
158003,176791,2022-12-09,2023-10-09
158003,179497,2022-12-15,2023-10-15
158003,177746 178007 178268 178292 178297 178321 178814 178971 179014 179015 179192 179238 179512 179586 179884 179930,2022-12-17,2023-10-17
158003,178786 179050 179284 179411 179602 179667 179797 179929 179936 180039 180050 180072 180075 180162 180429 180504 180508 180652,2022-12-19,2023-10-19
158003,178497,2022-12-22,2023-10-22
158003,179601 179923 180449,2022-12-29,2023-10-29
158003,179851 179914,2022-12-30,2023-10-30
158003,179933 180035 180618 180641,2022-12-31,2023-10-31
158003,179940 180140 180168 180637,2023-01-01,2023-11-01
158003,180390,2023-01-02,2023-10-15
158003,180000 180160 180410 181016 181452 181454 181456 181683 181921,2023-01-02,2023-11-02
158003,180165 180166 180650 181799,2023-01-03,2023-11-03
158003,180646 180691,2023-01-04,2023-11-04
158003,180387,2023-01-05,2023-11-05
158003,180844 180848,2023-01-06,2023-11-06
158003,181440 181742,2023-01-07,2023-11-07
158003,181121 181801,2023-01-09,2023-11-09
158003,182187,2023-01-10,2023-11-10
158003,181632 181851,2023-01-11,2023-11-11
158003,179069,2023-01-12,2023-10-14
158003,181774,2023-01-13,2023-11-11
158003,182850,2023-01-13,2023-11-12
158003,180133,2023-01-15,2023-10-29
158003,180421,2023-01-15,2023-11-03
158003,180470 180483 180539,2023-01-15,2023-11-04
158003,180555,2023-01-15,2023-11-05
158003,180989,2023-01-15,2023-11-06
158003,180958,2023-01-15,2023-11-09
158003,181875,2023-01-15,2023-11-14
158003,182307,2023-01-16,2023-11-12
158003,181889,2023-01-16,2023-11-13
158003,182285 182326,2023-01-16,2023-11-16
158003,180913,2023-01-28,2023-11-09
158003,182546,2023-01-28,2023-11-12
158003,182132,2023-01-28,2023-11-15
158003,182270 182364,2023-01-28,2023-11-16
158003,182410,2023-01-28,2023-11-17
158003,182411 182569 183167,2023-01-28,2023-11-18
158003,183457,2023-01-28,2023-11-20
158003,183159,2023-01-28,2023-11-21
158003,195272,2023-01-28,2023-11-28
158003,182353,2023-02-04,2023-11-10
158003,181773,2023-02-04,2023-11-11
158003,181425 181920,2023-02-04,2023-11-13
158003,182479,2023-02-04,2023-11-14
158003,182170 182608,2023-02-04,2023-11-15
158003,182318,2023-02-04,2023-11-16
158003,182666 183500,2023-02-04,2023-11-18
158003,182924 184212,2023-02-04,2023-11-20
158003,184302,2023-02-04,2023-11-22
158003,183177,2023-02-04,2023-11-23
158003,183847,2023-02-04,2023-11-24
158003,183923,2023-02-04,2023-11-25
158003,189382,2023-02-26,2023-09-26
158003,184328,2023-03-03,2023-10-03
158003,180380 186657 186805,2023-03-11,2023-10-11
158003,185809 186030,2023-03-13,2023-10-13
158003,185814,2023-03-14,2023-10-14
158003,180939,2023-03-15,2023-10-14
158003,185769 186033 186803 186804,2023-03-15,2023-10-15
158003,186666,2023-03-16,2023-10-16
158003,184603,2023-04-05,2023-11-05
158003,184941 185257,2023-04-07,2023-11-07
158003,184618 184665 185500,2023-04-08,2023-11-08
158003,183891,2023-04-09,2023-11-09
158003,186913 188541,2023-04-10,2023-11-10
158003,184203,2023-04-11,2023-11-11
158003,187299,2023-04-13,2023-11-13
158003,188533,2023-04-14,2023-11-14
158003,182488 187395 187598,2023-04-15,2023-11-15
158003,182355 182681 182697 186032,2023-04-16,2023-11-16
158003,182969 188232,2023-04-17,2023-11-17
158003,189685 190034,2023-04-18,2023-11-18
158003,182591 182610 182696 182895 187998 190030,2023-04-19,2023-11-19
158003,183909,2023-04-20,2023-11-20
158003,182908 182961 183886 184029 188499 188760,2023-04-21,2023-11-21
158003,183141 183145 183941 184216 189184 190322,2023-04-22,2023-11-22
158003,183181 184215 184225 184558 189698 190310,2023-04-23,2023-11-23
158003,183605 184483 189940 189947 197036,2023-04-24,2023-11-24
158003,183902 184270 184801 191159 194027,2023-04-25,2023-11-25
158003,184213 184244 184297 187296 187301 187625 188230 188563 188605 191165,2023-04-26,2023-11-26
158003,184499 184516 184787 185000 185246 185280 187424 187931 190459,2023-04-27,2023-11-27
158003,185272 185630 187033 187422 187490 188234,2023-04-28,2023-11-28
158003,184992 185386 185634 185843 185847 187294 189982 193088,2023-04-29,2023-11-29
158003,185328 185484 185599 185741 185748 185811 185846 185884 186692 188235 188278 188405 188771 189984 190102,2023-04-30,2023-11-30
158003,185602 185617 185777 185892 186900 187047 188787,2023-05-01,2023-12-01
158003,185788 185944 186149 186425 188893,2023-05-02,2023-12-02
158003,185971 185976 186136 186419 188607 189983 190320,2023-05-03,2023-12-03
158003,186138 186139 186164 186178 186342 186406 188501,2023-05-04,2023-12-04
158003,186137 186370 186701 186954 187464,2023-05-05,2023-12-05
158003,186483 187352 187788 188414 189941 189946,2023-05-06,2023-12-06
158003,186498 186704 187031 187488 189192,2023-05-07,2023-12-07
158003,187367 187489 187492 187494 188905 189615 189944,2023-05-08,2023-12-08
158003,187368 187401 187623 187850 187889 190541 191731 191957 193689,2023-05-09,2023-12-09
158003,187034 187411 187423 187942,2023-05-10,2023-12-10
158003,187946 187991 188120 188123 188488 190202 191397,2023-05-11,2023-12-11
158003,187871 187932 188045 188111 188150 188233 190564 193806 198849,2023-05-12,2023-12-12
158003,187959 187989 190243 190562 191967 193807,2023-05-13,2023-12-13
158003,188048 188489 188490 188655 188769 188772 188782 191329,2023-05-14,2023-12-14
158003,188670 188770 189955 190229 191987 193748 193764,2023-05-15,2023-12-15
158003,188726 189148 189482 190245,2023-05-16,2023-12-16
158003,188666 189157 189159 189182 189300 191396 191969 193606,2023-05-17,2023-12-17
158003,189347 189390 189479 189609 189687 190097 191991,2023-05-18,2023-12-18
158003,189381 189389 189478 189480 189483 189608 189850 193477,2023-05-19,2023-12-19
158003,189379 189610 189612 189667 189704 189852 190312 192003 192212 193586,2023-05-20,2023-12-20
158003,189627 190140 190434 190448 190456 190538,2023-05-21,2023-12-21
158003,189849 189962 190151 190255 193358,2023-05-22,2023-12-22
158003,189637 190124 190199 190242 191227 193467 194555,2023-05-23,2023-12-23
158003,190256 190458 191263 191279 193628,2023-05-24,2023-12-24
158003,190775 190805 190837 191054 191368 197614,2023-05-25,2023-12-25
158003,191050 191051 192000 192015 192319 192955 202034,2023-05-26,2023-12-26
158003,191055 191693 192376 192377 192454 193621 194551 197039 197041,2023-05-27,2023-12-27
158003,191576 192304 192308 192311,2023-05-28,2023-12-28
158003,191053 191686 191687 192452 192468 192490 192561 192714 194790 198011,2023-06-01,2024-01-01
158003,192573 192584 192941 195283,2023-06-02,2024-01-02
158003,192379 192713 193229 193393 193623 194460,2023-06-03,2024-01-03
158003,192812 192823 192842 192846 192850 192891 192899 192979 193008 193025 193256 193376 193808 193925 193964 194237 194708 195647 200578,2023-06-04,2024-01-04
158003,193259 193330 193890 194788,2023-06-05,2024-01-05
158003,192715 193019 193257 193611 193629,2023-06-06,2024-01-06
158003,193036 193258 193622 193709 193895 194926 195299 195978 196212 197752,2023-06-07,2024-01-07
158003,195290,2023-06-08,2023-12-01
158003,193371 193391 193624 194723 196041 198092,2023-06-08,2024-01-08
158003,193668 194195 194854 195262 195555,2023-06-09,2024-01-09
158003,193682 193727 193816 194208 194241 194388 195959 196660 197950,2023-06-10,2024-01-10
158003,194622,2023-06-11,2023-12-01
158003,193673 194293 195061 195224 195482 195639 201356,2023-06-11,2024-01-11
158003,194307 194690 195304 195979 197771,2023-06-12,2024-01-12
158003,194721,2023-06-13,2023-12-01
158003,194324 194735 195025 195031 195454 196140 196141 196222,2023-06-13,2024-01-13
158003,195076 195962 196037 196551 196684 196905 196918 200617 202643 202644 203044 203306 205278 205281 205480 205481 205695 205734 205735,2023-06-14,2024-01-14
158003,195277,2023-06-15,2023-12-01
158003,195041 195279 195966 196180 196925 197040 197088 197613,2023-06-15,2024-01-15
158003,195296 195297 195314 196077 196563 196611 197042 197276,2023-06-16,2024-01-16
158003,195293 195298 195563 197625 199757,2023-06-17,2024-01-17
158003,195507 195584 197615 198605 198848 200622,2023-06-18,2024-01-18
158003,195455,2023-06-19,2023-12-01
158003,195594 196066 197457 197459 197708 200122,2023-06-19,2024-01-19
158003,195610 196029 196060 196990 197461 197622 197626 200623,2023-06-20,2024-01-20
158003,196043 196084 197274 197458 197659 197722 197750 197760 199540 201261,2023-06-21,2024-01-21
158003,196075 196220 196240 196629 196667 197001 197191 197670 197682 198556 198850 199121 199234 199236 199264 200135 201095,2023-06-22,2024-01-22
158003,196606 196680 196927 197729 199796 200201,2023-06-23,2024-01-23
158003,196889 197860 198330 198456 199515 199622 200211,2023-06-24,2024-01-24
158003,196965 197024 197764 197765 198720 199299 200145,2023-06-25,2024-01-25
158003,197134 197168 197192 197193 197202 197820 201330,2023-06-26,2024-01-26
158003,197685 197739 198071 198090 198851 199676 200154,2023-06-27,2024-01-27
158003,197703 197726 197930 197958 198781 199238 199558 199799,2023-06-28,2024-01-28
158003,197755 198576 199108 199176 199177 199200 199241 199577 200177 201130 203637,2023-06-29,2024-01-29
158003,197967 198604 199712 199790 200197 200252 200625 201610 201625 205525,2023-06-30,2024-01-30
158003,198564 198603 198669 198717 198741 198791 199587 199595 199705 200621 200624 201170 201173 201329 201371 201884,2023-07-01,2024-02-01
158003,198782 198783 199186 199300 200210 200251 200253 200263 200620 200627 201172 201290 201303,2023-07-02,2024-02-02
158003,199199 199589 200212 200626 200883 201104 201151 201174 201311 201315 202149,2023-07-03,2024-02-03
158003,199237 199325 200884 201169 201327 201328 201331 201447 202146,2023-07-04,2024-02-04
158003,199463 199485 199596 199862 200198 200550 201430 201626 201627 201628 201687 201692 202555 202561 203484 205527,2023-07-05,2024-02-05
158003,199613 199625 199840 199881 200087 200553 200606 201736 201737 202185 202474 202559 203045 206247 206250 207919 208100 208398,2023-07-06,2024-02-06
158003,201728 202562 202863,2023-07-07,2024-02-07
158003,199924 200748 200767 200792 200850 201566 201727 201735 201822 202430 202539 202557 203125 203162 203486 203577 203668,2023-07-08,2024-02-08
158003,200829 200855 200872 201072 201078 201920 201921 202200 202453 202944 203161,2023-07-09,2024-02-09
158003,202198,2023-07-10,2024-02-08
158003,199802 200875 201067 201110 201129 201150 201582 201855 202199 203260,2023-07-10,2024-02-10
158003,201152 201154 201498 201924 202148 202197 202457 202565 202866 204109,2023-07-11,2024-02-11
158003,201516 201536 201558 201576 201861 201899 201923 201925 202233 202564 202566 202645 203487 203937,2023-07-12,2024-02-12
158003,202079 202145 202234 202819 202864 202867 204136 206581,2023-07-13,2024-02-13
158003,201843 202060 202141 202642 202652 202712 202862 202999 203163 204129,2023-07-14,2024-02-14
158003,202760 202766 202865 202968 203135 203938 204627,2023-07-15,2024-02-15
158003,202469 202476 202830 203108 203262 203263 203397 203631 203939,2023-07-16,2024-02-16
158003,202493 202508 202513 202673 202699 203111 203940 204355 204951 209017 210456 211222 211243 211258 211284 211314 211466 211468 211609 212073,2023-07-17,2024-02-17
158003,202782 202802 203259 203261 203281 203283 203752 203799 203941 203942,2023-07-18,2024-02-18
158003,203265 203266 203278 203280 203282 203647 203670 204639,2023-07-19,2024-02-19
158003,201915 203405 203700 204351 204980 205489,2023-07-20,2024-02-20
158003,203416 203478 203481 203667 203814 203835 204079 204103 204349,2023-07-21,2024-02-21
158003,203279 203699 203876 203895 203983 204001 204106 204147 204257 204358,2023-07-22,2024-02-22
158003,203671 203833 203880 203883 204032 204044 204051 204240 204350 204356,2023-07-23,2024-02-23
158003,204241 204258 204264 204318 204348 204353 204357 204469 204529 204536 204600 204644 204746 205401 205402 205476 205624 205656 206168 206368 206406 206600 207761 209136,2023-07-24,2024-02-24
158003,204239 204271 204298 204537 204655 204852,2023-07-25,2024-02-25
158003,204734 204747 204821 204961 205116 205174 209737,2023-07-26,2024-02-26
158003,204285 204313 204332 204341 204342 204711 204856,2023-07-27,2024-02-27
158003,204540 204744 204762 204797 204884,2023-07-28,2024-02-28
158003,204538 204859 204860 204915 205279,2023-07-29,2024-02-29
158003,204413 204428 204641 204668 204919 205240,2023-07-30,2024-02-29
158003,204861 204862 205117 205193 205250 205251,2023-08-01,2024-03-01
158003,204708 204849 204947 205160 205194 205388,2023-08-02,2024-03-02
158003,205252 205254 205255 205256 205549,2023-08-03,2024-03-03
158003,205257 205394 205400 205653 205930,2023-08-04,2024-03-04
158003,204854 204855 205139 205258 205347 205503 205526 205547 205916 207193 207210 207240 207915 208753 208756 208979 209179 209461 210924,2023-08-05,2024-03-05
158003,205152 205180 205529,2023-08-06,2024-03-06
158003,205167 205196 205412 205661 205687,2023-08-07,2024-03-07
158003,204964 205312 205530 205586 205691 205787 205917 205924 205931 205977,2023-08-08,2024-03-08
158003,205321 205395 205459 205609 205915 205979 206030,2023-08-09,2024-03-09
158003,206167 206246 206248,2023-08-10,2024-03-10
158003,205508 205682 205705 205746 206249 206251 206303 206498 206668 208914 209948,2023-08-11,2024-03-11
158003,205736 206294 206514 206593 206620 206680 208737,2023-08-12,2024-03-12
158003,205764 205767 206493 206500,2023-08-13,2024-03-13
158003,205964 206013 206295 206408 206611 206679 206683 206685 206686,2023-08-14,2024-03-14
158003,206015 206681 206684 207241 207354 207495,2023-08-15,2024-03-15
158003,206585 206682 206689 207009 207386,2023-08-16,2024-03-16
158003,207239 208675,2023-08-17,2024-03-17
158003,206490 206562 206590 207031 208709,2023-08-18,2024-03-18
158003,207384 208708 208757,2023-08-19,2024-03-19
158003,206540 206591 208989 209005,2023-08-20,2024-03-20
158003,206577 206658 206661 206662 206664 208664,2023-08-21,2024-03-21
158003,206724 206744 206746 206999,2023-08-22,2024-03-22
158003,206931 207015 207039 207356 209309,2023-08-23,2024-03-23
158003,209091 209141 209161 210353,2023-08-25,2024-03-25
158003,207042 207044 207128 207135 207155,2023-08-26,2024-03-26
158003,207199 208039,2023-08-27,2024-03-27
158003,207191 207340 207346 209428 209644,2023-08-31,2024-03-31
158003,207336 207353 207679 208069,2023-09-01,2024-04-01
158003,207557 207576 207701 211573,2023-09-02,2024-04-02
158003,207652 207788 207897 209150 209368 209414 209462 209740 209786 209790 209791 209897 209898 209983 210018 210109 210344 210449 210726,2023-09-03,2024-04-03
158003,207794 211643,2023-09-04,2024-04-04
158003,207890 208076,2023-09-05,2024-04-05
158003,210248,2023-09-06,2024-04-06
158003,208229 209152,2023-09-07,2024-04-07
158003,208264 208400 208402 208406,2023-09-08,2024-04-08
158003,208093 208151,2023-09-09,2024-04-09
158003,208133 208369 208371 208384 208397,2023-09-10,2024-04-10
158003,208268 208368 208386 208392 210925,2023-09-11,2024-04-11
158003,208750 208752 212038,2023-09-12,2024-04-12
158003,208729 208878 208990 209647 209974 210025 210193 210199 210226 210294 210328 210345 210346 210457 210461 210499 210526 210543 210575 210605 210729 210737 210748 210772 210827 210902 210917 211025 211027 211028 211256 212245,2023-09-14,2024-04-14
158003,208856 208880,2023-09-15,2024-04-15
158003,211192,2023-09-16,2024-04-16
158003,211229,2023-09-18,2024-04-18
158003,208991 209164,2023-09-20,2024-04-20
158003,211283,2023-09-21,2023-12-01
158003,209408,2023-09-21,2024-04-21
158003,209419 210826,2023-09-22,2024-04-22
158003,209421 211072 211591,2023-09-23,2024-04-23
158003,210828 211897,2023-09-25,2024-04-25
158003,211216 211557,2023-09-26,2024-04-26
158003,211141,2023-09-27,2023-12-01
158003,211201 212267 212271 213201,2023-09-27,2024-04-27
158003,211622 212593,2023-09-28,2024-04-28
158003,210196 210463 212603,2023-09-29,2024-04-29
158003,211571 211653 212598,2023-09-30,2024-04-30
158003,210464 210722 210927 211039 211316 211319 211329 211408 211546 211551 211564 211596 211599 211604 211607 211610 211621 211627 211642 211877 211936 211962 211966 212001 212027 212147 212189 212226 212236 212242 212247 212269 212342 212455 212458 212618 212695 212811 213253 213575 213621 213918 213941 214044 214056 214058 214075,2023-10-01,2024-05-01
158003,212248 212266 212343 212527 212528 212531 212542 212607 212790 212847 212955 213057 213168 213255 213927 213939,2023-10-03,2024-05-03
158003,211340 211423 211574 211595 211634 212454 212604 213213 213258 213556 213613 213638 213650 213657 214045,2023-10-06,2024-05-06
158003,211648,2023-10-08,2024-05-08
158003,210770 211652 212024 212457 212797 213179 214069 214648 214657 214658 214669 214670 214754 215203 215568,2023-10-09,2024-05-09
158003,211651,2023-10-11,2024-05-11
158003,212270,2023-10-12,2024-05-12
158003,211562 212144 212803 213147 213162 213175 213266 213555 215160,2023-10-13,2024-05-13
158003,212264 212350 212534 212540 212585 212595 212799 212814 212816 212947 212950 213574 213583 214047 214061 214077 214199 214200 214201 214206 214207 214281 214284 214292 214296 214298 214300 214641 214662 214751 214767 214777 214802 214811 214815 215068 215075 215083 215093 215164 215173 215408 215541 215544 215567 215578 215579 215580 215834 215971 216392 216395 216402 216455 217729 218038 218150 218161 218193 218235 218284 218348 218838 219005 219013 219049 219112 219114 219116 219181 219339,2023-10-14,2024-05-14
158003,215443 215577 215823 215830 215863 215865 215953 216057 216391 216430 216444 216491 216500 216546 217473 217476 217666 217667 217668 217759 218016 218156 218339 218389,2023-10-27,2024-05-27
158003,215840 217908 218141 218233 218285 218349 218529 218566 218584 218586 218589 218611 218619 218639 218685 218754 218764 218778 218784 218812 219035,2023-11-07,2024-06-07
158003,219026,2023-11-19,2024-06-19
158003,218632 218683,2023-11-20,2024-06-20
158003,222033,2023-11-23,2024-06-23
158003,216464,2023-11-28,2024-06-28
158003,217448,2023-11-29,2024-06-29
158003,216737 217021 217811,2023-12-01,2024-07-01
158003,217441,2023-12-03,2024-07-03
158003,217440 218128,2023-12-04,2024-07-04
158003,217335 217444 218978,2023-12-05,2024-07-05
158003,217451 217718 217720 218118 218129 223185 223802,2023-12-06,2024-07-06
158003,217724,2023-12-07,2024-07-07
158003,218314,2023-12-08,2024-07-08
158003,218592,2023-12-09,2024-07-09
158003,218289 218590 218622,2023-12-10,2024-07-10
158003,218686 218753 218885,2023-12-11,2024-07-11
158003,218340 218815 219074 219081,2023-12-12,2024-07-12
158003,218782 219012 219078 223051,2023-12-13,2024-07-13
158003,219203,2023-12-14,2024-07-14
158003,218616 218629 218644 218678,2023-12-15,2024-07-15
158003,219045 219176,2023-12-16,2024-07-16
158003,219061,2023-12-17,2024-07-17
158003,219376,2023-12-18,2024-07-18
158003,219409 219437 219709 221038,2023-12-19,2024-07-19
158003,219428,2023-12-20,2024-07-20
158003,219488 221368,2023-12-22,2024-07-22
158003,221695,2023-12-25,2024-07-25
158003,221376 221478 221684,2023-12-26,2024-07-26
158003,221465,2023-12-27,2024-07-27
158003,220606 221134 221388 221473 221475 222712 223000 223145 223489 225003 225075 225201 226201,2023-12-29,2024-07-29
158003,220633 221367 221482,2023-12-30,2024-07-30
158003,220984 221018 221366 221467,2024-01-01,2024-08-01
158003,220963 220990 221002 221680 222044 222061 222451,2024-01-02,2024-08-02
158003,221284 221396 222053 222206 222208 223499,2024-01-03,2024-08-03
158003,221405 221426 222209 222456 223804,2024-01-04,2024-08-04
158003,221247 221453 221876 221929,2024-01-05,2024-08-05
158003,221411 221696 222211 222224 223819,2024-01-06,2024-08-06
158003,221679 221906 222115 222210 222212 222221 222227 222234 222373 222374 222375 222385 222417 222429 222440 222461 222480 222558 222752 222917 223021 223024 223026 223045 223190 22 3335 223336 223417 223469 223487 223518 223533 223601 223622 223626 224111 224351 224382 225417 226064 226202 226350 226465 226571 226580 226581 226622 226752 227897 227919 227957 227964 228001 228004 228009 228014 228061 228062 228064 228497 228509 228562 228564 228634 228635 228641 228644 228662 228663 228666 228699 228701 228705 228706 228809,2024-01-07,2024-08-07
158003,222833,2024-01-07,2024-08-15
158003,222384 222406 222443,2024-01-08,2024-08-08
158003,222116 222117,2024-01-09,2024-08-09
158003,222530 223813,2024-01-10,2024-08-10
158003,222452 224248,2024-01-11,2024-08-11
158003,222687 222754 223468 223509 223512 223514 223534 224083 224390 224394 224453 224989,2024-01-12,2024-08-12
158003,222376 222929 224703,2024-01-13,2024-08-13
158003,223023 223040 223043 223333 223466 224427,2024-01-14,2024-08-14
158003,222546 222994,2024-01-15,2024-08-15
158003,223153 224425 225093 226148 226892 227601 227690 227758,2024-01-16,2024-08-16
158003,224877,2024-01-17,2024-08-17
158003,223619 223678 223682 224148 224360 224396 224428 224429 224448 224464 224636 224873 224992 224994 224999 225089 225095 225100 225186 225209 225385 225584 225710 226040 226066 226068 226103 226152 226357 226475 226491 226496 226639 227500 227688 227889 227942 228063 228646 228664 228698 228702 228703 228768 228796,2024-01-18,2024-08-18
158003,224249 224370,2024-01-19,2024-08-19
158003,224250 224354 224426 225091,2024-01-20,2024-08-20
158003,224875 224880,2024-01-21,2024-08-21
158003,224068 224883,2024-01-22,2024-08-22
158003,224199 224397 224398 224403 224449 224503 224700 224701 224983 224986 224993 225085 225141 225161 225179 225416 225421 225429 225431 225534 225551 225568 225599 225699 225711 225720 225933 225950 226008 226157 226168 226180 226196 226248 226253 226431 226677 227502 227559 228700 228777 229052 229053,2024-01-23,2024-08-23
158003,224637,2024-01-25,2024-08-25
158003,226063,2024-01-26,2024-08-26
